Slice ID,Slice Type,Slice Bandwidth (Mbps),Latency (ms),Packet Loss Rate (%),Data Rate (Mbps),Traffic Load,Signal Strength,Network Congestion,Transmission Path,Security Mechanism,Security Status,Attack Detection Time (ms),IGJO-SVM Prediction,Adjustment Action,Energy Efficiency (J/bit),Packet Delivery Ratio (%),End-to-End Delay (ms),Accuracy of Security (%)
103,Ultra-High-Speed,644,20,0.044122391,457,Medium,Strong,Medium,Path A,Encryption,Yes,88,0.784536519,Optimize Path,0.025628698,90.94986645,15,92.34544101
861,IoT,1759,14,0.058661722,1297,Low,Strong,Low,Path A,Encryption,Yes,61,0.927561349,Alert Admin,0.015082251,95.69707851,25,97.57166625
271,Autonomous,784,19,0.176483274,621,Medium,Strong,Medium,Path B,Encryption,No,57,0.742898814,Alert Admin,0.037526977,91.0258456,23,90.47811064
107,Autonomous,1320,13,0.186622666,849,High,Weak,Medium,Path C,Encryption,Yes,50,0.830192563,Alert Admin,0.039605976,91.58132646,16,98.20345015
615,Ultra-High-Speed,510,13,0.113875472,248,High,Weak,Low,Path A,Encryption,Yes,98,0.552160827,Alert Admin,0.032305696,92.197503,23,92.09428386
467,Autonomous,795,17,0.026297824,707,Low,Moderate,Medium,Path C,Encryption,No,67,0.478970561,Increase Security,0.016586811,93.42598771,26,90.63319247
215,IoT,701,18,0.091847976,381,High,Weak,High,Path C,IDS,Yes,76,0.356366638,Alert Admin,0.025264842,90.51720883,10,96.69723008
459,IoT,1457,16,0.123413303,1135,Medium,Weak,Low,Path C,Encryption,Yes,61,0.588586097,Alert Admin,0.027703561,97.83702989,15,91.10501351
100,Autonomous,642,16,0.065638551,267,Low,Weak,Low,Path A,IDS,Yes,52,0.897528622,Alert Admin,0.033076381,91.00031671,22,90.78782071
309,Ultra-High-Speed,812,14,0.069588282,622,Medium,Moderate,Low,Path A,IDS,Yes,42,0.139296689,Increase Security,0.034008744,90.37997837,23,93.50718509
492,IoT,838,10,0.15023561,485,Low,Weak,Medium,Path A,Firewall,Yes,90,0.998899287,Optimize Path,0.033591184,94.63829732,15,95.37357749
436,IoT,648,13,0.02800482,454,Medium,Weak,Medium,Path C,Firewall,Yes,38,0.834111583,Increase Security,0.014642138,96.25667181,11,97.47765277
72,IoT,1843,9,0.139123629,1514,Low,Strong,Low,Path B,IDS,Yes,22,0.49768796,Alert Admin,0.010811199,94.84342902,11,92.21663843
331,Autonomous,681,11,0.102530951,570,High,Moderate,Medium,Path C,Encryption,Yes,100,0.162776101,Increase Security,0.029522406,92.92835622,14,98.42719124
88,Autonomous,631,20,0.053964144,303,High,Weak,High,Path C,Encryption,No,68,0.033649723,Increase Security,0.04435005,98.4634878,24,91.63641841
664,IoT,669,18,0.089663811,505,High,Weak,High,Path C,IDS,Yes,90,0.144167816,Optimize Path,0.01334724,96.53271566,11,97.75973909
662,Autonomous,1237,7,0.012491519,1066,Medium,Weak,Low,Path C,Firewall,Yes,45,0.525579374,Optimize Path,0.03759876,91.89017067,19,96.53789651
344,Autonomous,1414,8,0.134146462,932,Medium,Strong,High,Path C,Encryption,Yes,99,0.406605853,Increase Security,0.038415506,95.09002184,16,98.62017716
414,IoT,1230,19,0.178504658,897,High,Strong,Medium,Path B,Firewall,Yes,59,0.823268653,Optimize Path,0.01981242,99.89867484,14,97.55453809
806,Ultra-High-Speed,538,17,0.153513526,150,High,Strong,Low,Path B,Encryption,No,22,0.096588682,Alert Admin,0.046219579,90.51662176,21,91.95030232
386,IoT,1801,5,0.133560937,1679,High,Strong,Low,Path B,Encryption,Yes,96,0.999316268,Optimize Path,0.046069667,95.3507375,23,92.8882943
701,Ultra-High-Speed,1670,16,0.013201969,1203,Medium,Weak,Medium,Path A,Firewall,Yes,38,0.18471391,Increase Security,0.01400913,95.8150831,14,94.56511757
21,Autonomous,1964,7,0.145195982,1514,Low,Moderate,Medium,Path A,IDS,No,76,0.810828113,Optimize Path,0.042769223,95.6037986,18,90.25961018
122,Ultra-High-Speed,656,10,0.004838353,264,Low,Moderate,Low,Path A,Encryption,Yes,88,0.985922659,Alert Admin,0.037135726,99.46791172,11,97.68247778
373,Ultra-High-Speed,558,13,0.108139695,106,Medium,Moderate,High,Path A,IDS,Yes,79,0.965410699,Optimize Path,0.019238654,91.02832816,11,92.16757711
872,IoT,894,12,0.179712121,783,Medium,Moderate,Low,Path C,IDS,Yes,89,0.944229579,Increase Security,0.021704509,97.48089366,12,98.76988831
131,Ultra-High-Speed,1777,19,0.168386713,1293,High,Weak,High,Path C,Firewall,No,49,0.105396935,Increase Security,0.020287085,99.38588858,25,90.13677651
770,Ultra-High-Speed,1540,6,0.16854238,1061,Medium,Weak,Low,Path C,Firewall,Yes,42,0.340883015,Optimize Path,0.034945038,98.10665773,11,99.5109068
192,IoT,550,19,0.170123212,420,Low,Strong,Medium,Path B,Encryption,Yes,89,0.323979275,Optimize Path,0.038705823,95.64441842,20,92.79060277
956,IoT,1470,19,0.104291928,1243,High,Moderate,Low,Path B,Encryption,Yes,67,0.63293388,Alert Admin,0.04159648,96.11214331,10,97.78892645
